Timestamp,Power,Result,PatternRIS0
2025-11-19T14:55:28.461458,10.0,-74.38817024230957,5
2025-11-19T14:55:28.650300,10.0,-74.36032295227051,6
2025-11-19T14:55:28.838365,10.0,-74.29962635040283,7
2025-11-19T14:55:29.026729,10.0,-74.31813716888428,8
2025-11-19T14:55:29.215231,10.0,-74.31093215942383,9
2025-11-19T14:55:29.403192,10.0,-74.25351619720459,10
2025-11-19T14:55:29.591983,10.0,-74.40320014953613,11
2025-11-19T14:55:29.780347,10.0,-74.2986536026001,12
2025-11-19T14:55:29.968697,10.0,-74.31483745574951,13
2025-11-19T14:55:30.157190,10.0,-74.32646751403809,14
2025-11-19T14:55:30.344540,10.0,-74.32165145874023,15
2025-11-19T14:55:30.532999,10.0,-74.30805206298828,16
2025-11-19T14:55:30.720908,10.0,-74.26729202270508,17
2025-11-19T14:55:30.908496,10.0,-74.33207035064697,18
2025-11-19T14:55:31.096782,10.0,-74.37429428100586,19
2025-11-19T14:55:31.284821,10.0,-74.26994323730469,20
2025-11-19T14:55:31.473097,10.0,-74.34696674346924,21
2025-11-19T14:55:31.661257,10.0,-74.31851863861084,22
2025-11-19T14:55:31.849153,10.0,-74.22024250030518,23
2025-11-19T14:55:32.037349,10.0,-74.27555561065674,24
2025-11-19T14:55:32.225484,10.0,-74.32526588439941,25
2025-11-19T14:55:32.413792,10.0,-74.35885429382324,26
2025-11-19T14:55:32.601968,10.0,-74.3578290939331,27
2025-11-19T14:55:32.790296,10.0,-74.32036876678467,28
2025-11-19T14:55:32.977849,10.0,-74.2259407043457,29
2025-11-19T14:55:33.165909,10.0,-74.32462215423584,30
2025-11-19T14:55:33.354158,Noise,-74.29815292358398,0
2025-11-19T14:55:33.541729,Noise,-74.27859306335449,1
2025-11-19T14:55:33.729326,Noise,-74.32542324066162,2
2025-11-19T14:55:33.916988,Noise,-74.28367137908936,3
2025-11-19T14:55:34.104787,Noise,-74.20583724975586,4
2025-11-19T14:55:34.292648,Noise,-74.28295135498047,5
2025-11-19T14:55:34.480456,Noise,-74.30599689483643,6
2025-11-19T14:55:34.668470,Noise,-74.2736291885376,7
2025-11-19T14:55:34.856713,Noise,-74.25807476043701,8
2025-11-19T14:55:35.044747,Noise,-74.35648918151855,9
2025-11-19T14:55:35.232826,Noise,-74.26482200622559,10
2025-11-19T14:55:35.421050,Noise,-74.2801284790039,11
2025-11-19T14:55:35.609436,Noise,-74.32295799255371,12
2025-11-19T14:55:35.797267,Noise,-74.31284427642822,13
2025-11-19T14:55:35.985442,Noise,-74.26312923431396,14
2025-11-19T14:55:36.173697,Noise,-74.28763389587402,15
2025-11-19T14:55:36.362270,Noise,-74.23844337463379,16
2025-11-19T14:55:36.550349,Noise,-74.28494930267334,17
2025-11-19T14:55:36.738380,Noise,-74.2264461517334,18
2025-11-19T14:55:36.925968,Noise,-74.25828456878662,19
2025-11-19T14:55:37.114033,Noise,-74.2566967010498,20
2025-11-19T14:55:37.302711,Noise,-74.2870044708252,21
2025-11-19T14:55:37.491380,Noise,-74.29866313934326,22
2025-11-19T14:55:37.679724,Noise,-74.35235500335693,23
2025-11-19T14:55:37.868356,Noise,-74.26944255828857,24
2025-11-19T14:55:38.056714,Noise,-74.29250717163086,25
2025-11-19T14:55:38.245175,Noise,-74.2074966430664,26
2025-11-19T14:55:38.433115,Noise,-74.22522068023682,27
2025-11-19T14:55:38.621077,Noise,-74.25200462341309,28
2025-11-19T14:55:38.808690,Noise,-74.28333282470703,29
2025-11-19T14:55:38.996278,Noise,-74.28980350494385,30
2025-11-19T14:55:39.184503,-5,-74.20441150665283,0
2025-11-19T14:55:39.372823,-5,-74.33231353759766,1
2025-11-19T14:55:39.561136,-5,-74.2927360534668,2
2025-11-19T14:55:39.748920,-5,-74.29182052612305,3
2025-11-19T14:55:39.936693,-5,-74.28231716156006,4
2025-11-19T14:55:40.125019,-5,-74.43126678466797,5
2025-11-19T14:55:40.313119,-5,-74.34588432312012,6
2025-11-19T14:55:40.501406,-5,-74.27409648895264,7
2025-11-19T14:55:40.689406,-5,-74.3079423904419,8
2025-11-19T14:55:40.876973,-5,-74.27780628204346,9
2025-11-19T14:55:41.064775,-5,-74.27478313446045,10
2025-11-19T14:55:41.254076,-5,-74.2459774017334,11
2025-11-19T14:55:41.442645,-5,-74.28175449371338,12
2025-11-19T14:55:41.631521,-5,-74.28878784179688,13
2025-11-19T14:55:41.819659,-5,-74.26887035369873,14
2025-11-19T14:55:42.007746,-5,-74.20736789703369,15
2025-11-19T14:55:42.195857,-5,-74.25817012786865,16
2025-11-19T14:55:42.384500,-5,-74.28608894348145,17
2025-11-19T14:55:42.572852,-5,-74.28995609283447,18
2025-11-19T14:55:42.760758,-5,-74.27915096282959,19
2025-11-19T14:55:42.949288,-5,-74.27656173706055,20
2025-11-19T14:55:43.136531,-5,-74.33172225952148,21
