Timestamp,Power,Result,PatternRIS0,PatternRIS1
2025-05-22T11:07:49.006011,10.0,-69.65009689331055,1,1
2025-05-22T11:07:49.277213,10.0,-69.47993278503418,1,2
2025-05-22T11:07:49.470932,10.0,-71.37353420257568,2,0
2025-05-22T11:07:49.741694,10.0,-71.78088188171387,2,1
2025-05-22T11:07:50.013029,10.0,-72.14760780334473,2,2
2025-05-22T11:07:50.206734,10.0,-72.41833209991455,0,0
2025-05-22T11:07:50.477919,10.0,-72.85321235656738,0,1
2025-05-22T11:07:50.748463,10.0,-72.81200885772705,0,2
2025-05-22T11:07:50.942706,10.0,-73.09821128845215,1,0
2025-05-22T11:07:51.212890,10.0,-73.04808616638184,1,1
2025-05-22T11:07:51.484139,10.0,-73.58365535736084,1,2
2025-05-22T11:07:51.678253,10.0,-73.73488426208496,2,0
2025-05-22T11:07:51.949646,10.0,-73.99324417114258,2,1
2025-05-22T11:07:52.221079,10.0,-73.85847091674805,2,2
2025-05-22T11:07:52.416061,10.0,-74.01522636413574,0,0
2025-05-22T11:07:52.687616,10.0,-74.12402629852295,0,1
2025-05-22T11:07:52.959567,10.0,-74.36716556549072,0,2
2025-05-22T11:07:53.153351,10.0,-74.23389911651611,1,0
2025-05-22T11:07:53.424743,10.0,-74.16272163391113,1,1
2025-05-22T11:07:53.695961,10.0,-74.34508800506592,1,2
2025-05-22T11:07:53.889051,10.0,-74.31375980377197,2,0
2025-05-22T11:07:54.158454,10.0,-74.21463012695312,2,1
2025-05-22T11:07:54.428761,10.0,-74.33967590332031,2,2
2025-05-22T11:08:28.117938,10.0,-69.38040733337402,0,0
2025-05-22T11:08:28.390764,10.0,-68.58944892883301,0,1
2025-05-22T11:08:28.663997,10.0,-69.49911594390869,0,2
2025-05-22T11:08:28.859406,10.0,-70.06151676177979,1,0
2025-05-22T11:08:29.131801,10.0,-70.5819034576416,1,1
2025-05-22T11:08:29.403453,10.0,-69.44241523742676,1,2
2025-05-22T11:08:29.597124,10.0,-70.12415409088135,2,0
2025-05-22T11:08:29.868159,10.0,-70.75767517089844,2,1
2025-05-22T11:08:30.139457,10.0,-71.23863220214844,2,2
2025-05-22T11:08:30.334067,10.0,-71.92956924438477,0,0
2025-05-22T11:08:30.605291,10.0,-72.18761444091797,0,1
2025-05-22T11:08:30.876238,10.0,-72.17385292053223,0,2
2025-05-22T11:08:31.070421,10.0,-72.33234882354736,1,0
2025-05-22T11:08:31.341670,10.0,-73.01290512084961,1,1
2025-05-22T11:08:31.613279,10.0,-73.4477949142456,1,2
2025-05-22T11:08:31.807327,10.0,-73.43705654144287,2,0
2025-05-22T11:08:32.078280,10.0,-73.97155284881592,2,1
2025-05-22T11:08:32.349563,10.0,-73.72498512268066,2,2
2025-05-22T11:08:32.543532,10.0,-74.01605129241943,0,0
2025-05-22T11:08:32.815180,10.0,-74.09552097320557,0,1
2025-05-22T11:08:33.086965,10.0,-73.86816501617432,0,2
2025-05-22T11:08:33.281361,10.0,-73.96291255950928,1,0
2025-05-22T11:08:33.552285,10.0,-73.98301601409912,1,1
2025-05-22T11:08:33.824308,10.0,-74.00370597839355,1,2
2025-05-22T11:08:34.018457,10.0,-74.12252426147461,2,0
2025-05-22T11:08:34.289650,10.0,-74.22082901000977,2,1
2025-05-22T11:08:34.561144,10.0,-74.29354667663574,2,2
2025-05-22T11:11:28.783286,10.0,-68.24533939361572,0,0
2025-05-22T11:11:29.055268,10.0,-67.66284465789795,0,1
2025-05-22T11:11:29.327049,10.0,-71.33688449859619,0,2
2025-05-22T11:11:29.521602,10.0,-68.96721839904785,1,0
2025-05-22T11:11:29.791929,10.0,-69.34691429138184,1,1
2025-05-22T11:11:30.062564,10.0,-72.1291971206665,1,2
2025-05-22T11:11:30.256531,10.0,-70.37128925323486,2,0
2025-05-22T11:11:30.527517,10.0,-70.55866241455078,2,1
2025-05-22T11:11:30.798037,10.0,-71.55634880065918,2,2
2025-05-22T11:11:30.992051,10.0,-71.63768291473389,0,0
2025-05-22T11:11:31.262839,10.0,-72.69067764282227,0,1
2025-05-22T11:11:31.532778,10.0,-72.35764026641846,0,2
2025-05-22T11:11:31.725873,10.0,-72.77865409851074,1,0
2025-05-22T11:11:31.996597,10.0,-73.34486961364746,1,1
2025-05-22T11:11:32.267492,10.0,-72.81149864196777,1,2
2025-05-22T11:11:32.461020,10.0,-73.43344688415527,2,0
2025-05-22T11:11:32.732254,10.0,-73.41986656188965,2,1
2025-05-22T11:11:33.003012,10.0,-73.57730388641357,2,2
2025-05-22T11:11:33.197000,10.0,-73.65447521209717,0,0
2025-05-22T11:11:33.467233,10.0,-73.69827270507812,0,1
2025-05-22T11:11:33.738735,10.0,-73.81696701049805,0,2
2025-05-22T11:11:33.932025,10.0,-74.09345149993896,1,0
2025-05-22T11:11:34.203012,10.0,-73.93280029296875,1,1
2025-05-22T11:11:34.474286,10.0,-73.94996166229248,1,2
2025-05-22T11:11:34.668032,10.0,-74.0565824508667,2,0
2025-05-22T11:11:34.939845,10.0,-74.30551528930664,2,1
2025-05-22T11:11:35.211548,10.0,-74.2530632019043,2,2
2025-05-22T11:16:00.614942,10.0,-68.11420917510986,0,0
2025-05-22T11:16:00.887860,10.0,-66.94825172424316,0,1
2025-05-22T11:16:01.159403,10.0,-67.4957799911499,0,2
2025-05-22T11:16:01.352540,10.0,-67.7350902557373,1,0
2025-05-22T11:16:01.623846,10.0,-69.01744842529297,1,1
2025-05-22T11:16:01.895569,10.0,-69.49973583221436,1,2
2025-05-22T11:16:02.090710,10.0,-70.23309707641602,2,0
2025-05-22T11:16:02.362277,10.0,-70.52342414855957,2,1
2025-05-22T11:16:02.634405,10.0,-71.34002208709717,2,2
2025-05-22T11:16:02.828544,10.0,-71.7512845993042,0,0
2025-05-22T11:16:03.100427,10.0,-71.93183422088623,0,1
2025-05-22T11:16:03.372010,10.0,-72.14607238769531,0,2
2025-05-22T11:16:03.565972,10.0,-73.14934730529785,1,0
2025-05-22T11:16:03.836758,10.0,-72.92360782623291,1,1
2025-05-22T11:16:04.108164,10.0,-73.34631443023682,1,2
2025-05-22T11:16:04.301521,10.0,-73.50732326507568,2,0
2025-05-22T11:16:04.572919,10.0,-73.57244968414307,2,1
2025-05-22T11:16:04.843099,10.0,-73.47629070281982,2,2
2025-05-22T11:16:05.036738,10.0,-74.00157928466797,0,0
2025-05-22T11:16:05.307047,10.0,-73.79528045654297,0,1
2025-05-22T11:16:05.578562,10.0,-74.0191125869751,0,2
2025-05-22T11:16:05.772377,10.0,-73.99696350097656,1,0
2025-05-22T11:16:06.045903,10.0,-74.31859493255615,1,1
2025-05-22T11:16:06.317609,10.0,-74.22219276428223,1,2
2025-05-22T11:16:06.512289,10.0,-74.25904750823975,2,0
2025-05-22T11:16:06.784115,10.0,-74.28926944732666,2,1
2025-05-22T11:16:07.054958,10.0,-74.1810655593872,2,2
2025-05-22T11:20:45.276985,10.0,-69.39181804656982,0,0
2025-05-22T11:20:45.548527,10.0,-68.46762657165527,0,1
2025-05-22T11:20:45.819664,10.0,-69.23868179321289,0,2
2025-05-22T11:20:46.013689,10.0,-68.5060167312622,1,0
2025-05-22T11:20:46.284281,10.0,-68.57584953308105,1,1
2025-05-22T11:20:46.555552,10.0,-69.22976493835449,1,2
2025-05-22T11:20:46.749427,10.0,-69.57382678985596,2,0
2025-05-22T11:20:47.020230,10.0,-70.59772491455078,2,1
2025-05-22T11:20:47.290895,10.0,-70.97085952758789,2,2
2025-05-22T11:20:47.484816,10.0,-71.18470191955566,0,0
2025-05-22T11:20:47.754902,10.0,-71.57342910766602,0,1
2025-05-22T11:20:48.026501,10.0,-73.06944847106934,0,2
2025-05-22T11:20:48.221316,10.0,-72.69052505493164,1,0
2025-05-22T11:20:48.492483,10.0,-73.08008193969727,1,1
2025-05-22T11:20:48.762918,10.0,-73.3576774597168,1,2
2025-05-22T11:20:48.956877,10.0,-73.1525182723999,2,0
2025-05-22T11:20:49.227290,10.0,-73.48636627197266,2,1
2025-05-22T11:20:49.497744,10.0,-73.60598564147949,2,2
2025-05-22T11:20:49.691140,10.0,-73.86571407318115,0,0
2025-05-22T11:20:49.961317,10.0,-73.89742374420166,0,1
2025-05-22T11:20:50.232705,10.0,-74.03966426849365,0,2
2025-05-22T11:20:50.427839,10.0,-74.05600070953369,1,0
2025-05-22T11:20:50.698476,10.0,-74.14665222167969,1,1
2025-05-22T11:20:50.969482,10.0,-74.12051200866699,1,2
2025-05-22T11:20:51.163849,10.0,-74.37623977661133,2,0
2025-05-22T11:20:51.435688,10.0,-74.17600631713867,2,1
2025-05-22T11:20:51.706601,10.0,-74.33166980743408,2,2
2025-05-22T11:21:40.046678,10.0,-67.66948223114014,0,0
2025-05-22T11:21:40.318405,10.0,-66.75066471099854,0,1
2025-05-22T11:21:40.589601,10.0,-67.95758247375488,0,2
2025-05-22T11:21:40.782241,10.0,-68.07116985321045,1,0
2025-05-22T11:21:41.052783,10.0,-69.12084579467773,1,1
2025-05-22T11:21:41.324036,10.0,-69.49215888977051,1,2
2025-05-22T11:21:41.516844,10.0,-70.36544799804688,2,0
2025-05-22T11:21:41.787417,10.0,-70.89595317840576,2,1
2025-05-22T11:21:42.058253,10.0,-71.24804973602295,2,2
2025-05-22T11:21:42.251794,10.0,-72.14645862579346,0,0
2025-05-22T11:21:42.523584,10.0,-72.17467784881592,0,1
2025-05-22T11:21:42.794836,10.0,-72.73521423339844,0,2
2025-05-22T11:21:42.988444,10.0,-72.71965980529785,1,0
2025-05-22T11:21:43.259012,10.0,-73.10781955718994,1,1
2025-05-22T11:21:43.530440,10.0,-73.20197105407715,1,2
2025-05-22T11:21:43.723307,10.0,-73.13134670257568,2,0
2025-05-22T11:21:43.994818,10.0,-73.70691776275635,2,1
2025-05-22T11:21:44.265809,10.0,-73.7890100479126,2,2
2025-05-22T11:21:44.459129,10.0,-73.7297773361206,0,0
2025-05-22T11:21:44.730437,10.0,-73.90009880065918,0,1
2025-05-22T11:21:45.001928,10.0,-74.01370048522949,0,2
2025-05-22T11:21:45.195474,10.0,-73.95337581634521,1,0
2025-05-22T11:21:45.466532,10.0,-74.07775402069092,1,1
2025-05-22T11:21:45.737543,10.0,-74.11264896392822,1,2
2025-05-22T11:21:45.931793,10.0,-74.15725231170654,2,0
2025-05-22T11:21:46.202958,10.0,-74.23390865325928,2,1
2025-05-22T11:21:46.474102,10.0,-74.28596019744873,2,2
2025-05-22T11:25:18.378773,10.0,-69.06922817230225,0,0
2025-05-22T11:25:18.652326,10.0,-69.43024158477783,0,1
2025-05-22T11:25:18.924597,10.0,-68.53207111358643,0,2
2025-05-22T11:25:19.118735,10.0,-69.54215049743652,1,0
2025-05-22T11:25:19.389059,10.0,-69.65962886810303,1,1
2025-05-22T11:25:19.659796,10.0,-70.26915073394775,1,2
2025-05-22T11:25:19.853752,10.0,-70.63735961914062,2,0
